,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,Unnamed: 0,PolyLK
62,06/24/2020 00:12:10.958,3.53311,15.185,0.985,0.006,1.5630000000000002,237.1,21,27.4,2,33.6048622131,-86.59889221190002,P58,2,2,P58L2
63,06/19/2020 22:05:47.214,2.15446,15.105,0.82,0.016,0.098,103.4,11,0.7,1,33.6095046997,-86.60062408450001,P58,3,3,P58L3
64,06/19/2020 22:07:38.830,2.19023,13.95,0.7559999999999999,0.008,0.134,91.4,8,0.5,1,33.6086540222,-86.60375976559997,P58,4,4,P58L4
65,06/23/2020 23:31:12.027,2.19814,8.16,0.7659999999999999,0.021,0.197,16.5,5,0.3,1,33.6110038757,-86.6045608521,P58,5,5,P58L5
66,06/23/2020 23:38:56.001,2.07295,-1.926,0.818,0.006,0.031,84.5,5,0.1,1,33.6030387878,-86.6070022583,P58,6,6,P58L6
67,06/23/2020 23:41:35.745,2.29187,-0.589,0.952,0.005,0.305,214.4,19,6.7,1,33.592617034899995,-86.6121902466,P58,7,7,P58L7
68,06/23/2020 23:53:04.078,2.10533,6.533,0.735,0.005,0.14300000000000002,58.2,5,0.9,1,33.591182708699996,-86.61340332030001,P58,8,8,P58L8
69,06/23/2020 23:56:38.094,2.47836,8.005,0.95,0.005,0.516,220.3,18,7.4,1,33.5971870422,-86.6085357666,P58,9,9,P58L9
70,06/24/2020 00:03:16.430,2.15261,4.299,0.8320000000000001,0.015,0.194,111.5,8,1.5,1,33.6019020081,-86.6085891724,P58,10,10,P58L10
71,06/19/2020 00:30:36.683,2.39763,-2.3040000000000003,0.95,0.009000000000000001,0.445,268.1,18,14.0,2,33.64585495,-86.59155273440003,P59,0,0,P59L0
72,06/25/2020 02:05:38.867,2.28442,9.652,0.825,0.006,0.392,259.7,13,8.2,5,33.671546936,-86.6351318359,P7,0,0,P7L0
73,06/29/2020 23:19:02.739,4.04412,14.092,0.987,0.003,2.137,245.3,16,35.4,3,33.6924552917,-86.63954925540001,P8,0,0,P8L0
74,06/25/2020 03:27:08.467,2.99605,4.035,0.954,0.004,1.048,152.9,10,16.7,1,33.696857452399996,-86.63277435299999,P8,1,1,P8L1
75,06/25/2020 03:42:18.598,2.32239,4.191,0.968,0.012,0.415,114.1,11,4.4,1,33.6903953552,-86.6214294434,P8,2,2,P8L2
76,06/26/2020 23:21:07.857,1.92007,-0.3670000000000001,0.964,0.011,0.013,2331.7,7,0.1,1,33.7040596008,-86.63954925540001,P8,3,3,P8L3
77,06/26/2020 23:42:12.497,2.07599,1.364,0.865,0.014,0.147,115.7,13,1.7,1,33.6921081543,-86.64331817629999,P8,4,4,P8L4
78,06/26/2020 23:42:48.337,2.03697,0.056,0.868,0.012,0.081,64.3,10,0.2,1,33.691570282,-86.6433334351,P8,5,5,P8L5
79,06/26/2020 23:55:28.657,2.00434,3.137,0.8009999999999999,0.022,0.068,44.6,6,0.2,1,33.696182250999996,-86.63804626459999,P8,6,6,P8L6
80,06/26/2020 23:56:32.145,2.2787,4.2810000000000015,0.779,0.006999999999999999,0.342,131.0,10,6.5,1,33.694667816199996,-86.6369247437,P8,7,7,P8L7
81,06/26/2020 23:57:03.889,2.32294,4.69,0.8079999999999999,0.006,0.387,174.2,13,20.8,1,33.6957893372,-86.6384048462,P8,8,8,P8L8
82,06/26/2020 23:58:00.209,2.61741,6.948,0.951,0.005,0.677,148.4,14,6.6,1,33.701000213600004,-86.6352767944,P8,9,9,P8L9
83,06/29/2020 22:54:52.345,1.98785,8.56,0.7759999999999999,0.006,0.08900000000000001,109.6,8,0.8,1,33.708461761500004,-86.63257598879999,P8,10,10,P8L10
84,06/29/2020 23:18:16.659,2.87879,13.404000000000002,0.979,0.006999999999999999,0.972,152.9,11,13.2,1,33.6963806152,-86.6339035034,P8,11,11,P8L11
85,06/30/2020 01:48:04.000,2.32648,3.071,0.82,0.005,0.421,180.8,16,5.9,2,33.679908752399996,-86.68516540530001,P10,0,0,P10L0
86,06/30/2020 01:56:21.664,3.44282,3.208,0.792,0.001,1.545,113.5,20,18.7,5,33.679046630900004,-86.68600463870001,P10,1,1,P10L1
87,07/01/2020 23:54:36.584,2.68749,12.03,0.968,0.008,0.6920000000000001,291.5,18,13.9,2,33.6812705994,-86.6786270142,P10,2,2,P10L2
88,07/01/2020 23:25:29.537,2.91359,1.776,0.945,0.003,0.977,186.5,22,15.4,3,33.679237365700004,-86.68668365479998,P10,3,3,P10L3
